1	4	13	16	49	52	61	64	193	196	205	208	241	244	253	256	
3	2	15	14	51	50	63	62	195	194	207	206	243	242	255	254	
9	12	5	8	57	60	53	56	201	204	197	200	249	252	245	248	
11	10	7	6	59	58	55	54	203	202	199	198	251	250	247	246	
33	36	45	48	17	20	29	32	225	228	237	240	209	212	221	224	
35	34	47	46	19	18	31	30	227	226	239	238	211	210	223	222	
41	44	37	40	25	28	21	24	233	236	229	232	217	220	213	216	
43	42	39	38	27	26	23	22	235	234	231	230	219	218	215	214	
129	132	141	144	177	180	189	192	65	68	77	80	113	116	125	128	
131	130	143	142	179	178	191	190	67	66	79	78	115	114	127	126	
137	140	133	136	185	188	181	184	73	76	69	72	121	124	117	120	
139	138	135	134	187	186	183	182	75	74	71	70	123	122	119	118	
161	164	173	176	145	148	157	160	97	100	109	112	81	84	93	96	
163	162	175	174	147	146	159	158	99	98	111	110	83	82	95	94	
169	172	165	168	153	156	149	152	105	108	101	104	89	92	85	88	
171	170	167	166	155	154	151	150	107	106	103	102	91	90	87	86	
